trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5729835_b_81456_tn_0,15:56:00,15:56:00,1733,48,,0,0,33407.70275364,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:30:00,10:30:00,100,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:36:00,10:36:00,401,2,,0,0,6513.14861328758,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:39:00,10:39:00,402,3,,0,0,8784.79453515419,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,,,403,4,,0,0,9183.85401593279,0,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,,,404,5,,0,0,11660.2975915257,0,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:44:00,10:44:00,405,6,,0,0,12289.5868730509,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:46:00,10:46:00,406,7,,0,0,12749.8992193572,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:50:00,10:50:00,407,8,,0,0,15494.0695234595,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,10:52:00,10:52:00,408,9,,0,0,16127.3923126987,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,11:00:00,11:00:00,409,10,,0,0,29218.8436181104,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,,,410,11,,0,0,29647.715983321,0,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,11:02:00,11:02:00,411,12,,0,0,30175.815905348,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,,,611,13,,0,0,30428.779315474,0,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,11:03:00,11:03:00,612,14,,0,0,30821.2678592316,1,,,,,1,1,,,,,,,,,,,
t_5729836_b_81456_tn_0,11:10:00,11:10:00,2227,15,,0,0,32313.76310908,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:30:00,11:30:00,600,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:32:00,11:32:00,619,2,,0,0,1536.27953180821,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:33:00,11:33:00,620,3,,0,0,1852.79532417918,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,,,412,4,,0,0,2207.38973365245,0,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:34:00,11:34:00,413,5,,0,0,2773.96633028043,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:35:00,11:35:00,414,6,,0,0,3315.80145850033,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:47:00,11:47:00,402,7,,0,0,16168.585533405,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,,,403,8,,0,0,16569.1113442972,0,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,,,404,9,,0,0,19045.5549198901,0,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:52:00,11:52:00,405,10,,0,0,19674.8442014153,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:54:00,11:54:00,406,11,,0,0,20135.1565477216,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:57:00,11:57:00,407,12,,0,0,22879.326851824,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,11:59:00,11:59:00,408,13,,0,0,23512.6496410631,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,12:05:00,12:05:00,415,14,,0,0,25853.2485851102,1,,,,,1,1,,,,,,,,,,,
t_5729837_b_81456_tn_0,12:15:00,12:15:00,1692,15,,0,0,32212.07687985,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,17:30:00,17:30:00,600,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,17:32:00,17:32:00,619,2,,0,0,1536.27953180821,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,17:33:00,17:33:00,620,3,,0,0,1852.79532417918,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,,,412,4,,0,0,2207.38973365245,0,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,17:34:00,17:34:00,413,5,,0,0,2773.96633028043,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,17:35:00,17:35:00,414,6,,0,0,3315.80145850033,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,17:47:00,17:47:00,402,7,,0,0,16168.585533405,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,,,403,8,,0,0,16569.1113442972,0,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,,,404,9,,0,0,19045.5549198901,0,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,18:05:00,18:05:00,405,10,,0,0,19674.8442014153,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,18:07:00,18:07:00,406,11,,0,0,20135.1565477216,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,18:10:00,18:10:00,407,12,,0,0,22879.326851824,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,18:12:00,18:12:00,408,13,,0,0,23512.6496410631,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,18:18:00,18:18:00,415,14,,0,0,25853.2485851102,1,,,,,1,1,,,,,,,,,,,
t_5729838_b_81456_tn_0,18:28:00,18:28:00,1692,15,,0,0,32212.07687985,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:30:00,18:30:00,100,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:33:00,18:33:00,201,2,,0,0,817.530793670334,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,202,3,,0,0,1483.84434528236,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,203,4,,0,0,1734.67957268451,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,204,5,,0,0,2817.83800185012,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,205,6,,0,0,3302.56817656379,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:39:00,18:39:00,206,7,,0,0,3559.4216028556,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:41:00,18:41:00,208,8,,0,0,4425.55324934885,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,210,9,,0,0,5253.68034253403,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,211,10,,0,0,6091.4695111131,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:42:00,18:42:00,212,11,,0,0,7383.25821312031,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,213,12,,0,0,8380.53466945824,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:44:00,18:44:00,214,13,,0,0,9874.05569522957,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,215,14,,0,0,10117.7289738388,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,216,15,,0,0,10309.769429968,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,217,16,,0,0,11535.2481354574,0,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,18:46:00,18:46:00,218,17,,0,0,12587.1525478185,1,,,,,1,1,,,,,,,,,,,
t_5729839_b_81456_tn_0,,,219,18,,0,0,13260.0020875295,0,,,,,1,1,,,,,,,,,,,
